frame_number,object_id,x,y,w,h,class,species,occlusion,noise
0,1,280,245,8,9,0,-1,0,0
1,7,0,155,13,10,0,-1,0,0
1,10,20,194,11,15,0,-1,0,0
1,12,72,165,12,11,0,-1,0,0
1,19,22,168,8,11,0,-1,0,0
1,20,15,148,10,10,0,-1,0,0
1,27,7,130,10,14,0,-1,0,0
1,28,49,170,12,11,0,-1,0,0
1,29,10,166,12,11,0,-1,0,0
2,1,403,57,11,26,1,0,0,0
2,2,420,74,14,22,1,0,0,0
2,3,410,64,12,21,1,0,0,0
3,1,552,267,16,14,0,1,0,0
3,2,566,281,15,14,0,1,0,0
4,1,395,176,9,14,1,0,0,0
4,2,406,226,9,13,1,0,0,0
5,1,215,86,18,29,1,0,0,0
6,1,78,165,15,15,0,-1,0,0
6,2,152,244,18,14,0,-1,0,0
6,3,35,161,16,16,0,-1,0,0
6,4,192,222,14,11,0,-1,0,0
7,1,183,48,11,26,1,0,0,0
7,2,206,64,11,20,1,0,0,0
7,3,192,57,11,20,1,0,0,0
8,2,174,265,12,12,0,-1,0,0
8,3,182,257,11,12,0,-1,0,0
8,4,193,244,16,14,0,-1,0,0
8,5,301,197,10,12,0,-1,0,0
8,6,343,148,12,12,0,-1,0,0
8,7,327,68,13,10,0,-1,0,0
8,10,360,99,11,15,0,-1,0,0
8,11,302,114,11,10,0,-1,0,0
8,12,397,75,12,11,0,-1,0,0
8,20,339,61,10,10,0,-1,0,0
8,25,329,87,9,8,0,-1,0,0
8,27,327,45,10,14,0,-1,0,0
8,28,377,81,12,11,0,-1,0,0
8,29,343,77,12,11,0,-1,0,0
9,2,396,296,11,19,1,0,0,0
10,2,403,259,11,19,1,0,0,0
11,1,447,233,46,34,0,1,0,0
12,1,376,264,9,14,1,0,0,0
12,2,386,302,9,13,1,0,0,0
13,2,94,168,12,11,0,-1,0,0
13,3,100,158,11,11,0,-1,0,0
13,4,118,145,11,11,0,-1,0,0
13,5,181,100,10,12,0,-1,0,0
13,6,201,57,9,10,0,-1,0,0
13,7,139,2,12,11,0,-1,0,0
13,10,190,19,11,15,0,-1,0,0
13,11,140,42,11,10,0,-1,0,0
13,12,210,0,13,12,0,-1,0,0
13,13,141,29,10,11,0,-1,0,0
13,28,186,4,12,11,0,-1,0,0
13,29,161,6,12,11,0,-1,0,0
14,1,400,207,9,14,1,0,0,0
14,2,418,269,9,13,1,0,0,0
15,1,340,63,9,24,1,0,0,0
15,2,354,82,11,22,1,0,0,0
15,3,347,74,8,16,1,0,0,0
16,1,88,172,15,15,0,-1,0,0
16,2,139,257,18,14,0,-1,0,0
16,3,58,164,16,16,0,-1,0,0
16,4,182,238,14,11,0,-1,0,0
17,1,348,210,10,11,1,0,0,0
17,2,369,232,9,13,1,0,0,0
18,2,396,308,11,19,1,0,0,0
19,2,376,130,11,19,1,0,0,0
20,1,443,68,11,24,1,0,0,0
20,2,463,83,11,23,1,0,0,0
20,3,451,75,11,22,1,0,0,0
21,1,450,249,38,35,0,1,0,0
22,1,236,62,18,29,1,0,0,0
23,1,72,171,15,15,0,-1,0,0
23,2,133,254,18,14,0,-1,0,0
23,3,37,164,16,16,0,-1,0,0
23,4,174,233,14,11,0,-1,0,0
24,1,387,278,9,14,1,0,0,0
24,2,397,324,9,13,1,0,0,0
25,6,179,206,14,11,0,-1,0,0
25,7,189,116,13,10,0,-1,0,0
25,10,215,150,11,15,0,-1,0,0
25,11,151,167,11,10,0,-1,0,0
25,12,258,125,12,11,0,-1,0,0
25,13,168,151,10,10,0,-1,0,0
25,14,170,141,8,9,0,-1,0,0
25,19,213,128,8,11,0,-1,0,0
25,20,203,109,10,10,0,-1,0,0
25,25,187,135,9,8,0,-1,0,0
25,27,193,92,10,14,0,-1,0,0
25,28,236,130,12,11,0,-1,0,0
25,29,202,126,12,11,0,-1,0,0
26,1,550,242,16,14,0,1,0,0
26,2,563,253,14,14,0,1,0,0
27,1,557,261,16,14,0,1,0,1
27,2,570,275,15,14,0,1,0,1
28,1,277,15,18,29,1,0,0,0
29,1,97,171,15,15,0,-1,0,0
29,2,136,257,18,14,0,-1,0,0
29,3,69,161,16,16,0,-1,0,0
29,4,175,246,14,11,0,-1,0,0
30,1,277,11,18,29,1,0,0,0
31,1,447,231,48,32,0,1,0,0
32,2,53,314,9,11,0,-1,0,0
32,3,61,311,8,11,0,-1,0,0
32,4,69,294,16,14,0,-1,0,0
32,5,194,239,10,12,0,-1,0,0
32,6,243,186,14,11,0,-1,0,0
32,7,242,99,13,10,0,-1,0,0
32,10,271,133,11,15,0,-1,0,0
32,11,208,150,11,10,0,-1,0,0
32,12,313,108,12,11,0,-1,0,0
32,13,224,134,10,10,0,-1,0,0
32,14,228,125,8,9,0,-1,0,0
32,19,269,110,8,11,0,-1,0,0
32,20,257,93,10,10,0,-1,0,0
32,25,243,119,9,8,0,-1,0,0
32,27,248,75,10,14,0,-1,0,0
32,28,291,113,12,11,0,-1,0,0
32,29,257,107,12,11,0,-1,0,0
33,2,403,240,11,19,1,0,0,0
34,2,247,106,10,8,0,-1,0,0
34,3,249,99,11,8,0,-1,0,0
34,4,267,87,11,11,0,-1,0,0
34,5,327,46,10,8,0,-1,0,0
35,1,347,206,10,14,1,0,0,0
35,2,369,229,9,13,1,0,0,0
36,2,415,450,9,13,1,0,0,0
37,1,78,168,15,15,0,-1,0,0
37,2,144,249,18,14,0,-1,0,0
37,3,43,163,16,16,0,-1,0,0
37,4,186,227,14,11,0,-1,0,0
38,1,385,115,21,18,0,1,0,0
39,1,248,46,18,29,1,0,0,0
40,2,390,162,11,19,1,0,0,0
41,1,440,69,11,26,1,0,0,0
41,2,460,87,11,22,1,0,0,0
41,3,448,76,10,22,1,0,0,0
42,1,248,46,18,29,1,0,0,0
43,1,589,361,8,9,0,-1,0,0
44,1,397,211,40,33,0,1,0,0
45,1,245,51,18,29,1,0,0,0
46,1,251,48,11,26,1,0,0,0
46,2,270,67,14,19,1,0,0,0
46,3,258,58,12,19,1,0,0,0
47,1,349,52,11,26,1,0,0,0
47,2,368,71,13,19,1,0,0,0
47,3,356,63,11,19,1,0,0,0
48,1,292,250,8,9,0,-1,0,0
49,1,72,169,15,15,0,-1,0,0
49,2,126,255,18,14,0,-1,0,0
49,3,43,162,16,16,0,-1,0,0
49,4,172,235,14,11,0,-1,0,0
50,1,380,286,9,14,1,0,0,0
50,2,389,329,9,13,1,0,0,0
51,1,412,60,10,21,1,0,0,0
51,2,431,76,10,22,1,0,0,0
51,3,420,69,14,18,1,0,0,0
52,1,275,18,18,29,1,0,0,0
53,1,212,48,11,26,1,0,0,0
53,2,231,67,13,19,1,0,0,0
53,3,218,58,12,20,1,0,0,0
54,1,173,53,11,26,1,0,0,0
54,2,193,67,13,21,1,0,0,0
54,3,181,62,11,19,1,0,0,0
55,1,291,134,23,19,0,1,0,0
56,2,369,404,9,13,1,0,0,0
57,1,295,135,22,18,0,1,0,1
58,1,560,260,16,14,0,1,0,0
58,2,573,272,14,16,0,1,0,0
59,1,198,39,11,26,1,0,0,0
59,2,219,55,12,18,1,0,0,0
59,3,206,49,11,18,1,0,0,0
60,1,332,70,8,15,1,0,0,0
60,2,345,86,9,17,1,0,0,0
60,3,337,77,10,16,1,0,0,0
61,2,367,114,11,19,1,0,0,0
62,1,399,212,37,32,0,1,0,0
63,1,416,220,40,32,0,1,0,1
64,1,353,64,9,21,1,0,0,0
64,2,368,82,10,19,1,0,0,0
64,3,362,72,7,20,1,0,0,0
65,5,1,295,10,11,0,-1,0,0
65,6,63,236,14,11,0,-1,0,0
65,7,83,142,13,10,0,-1,0,0
65,10,107,177,11,15,0,-1,0,0
65,12,152,151,12,11,0,-1,0,0
65,13,55,180,10,10,0,-1,0,0
65,14,55,170,10,10,0,-1,0,0
65,19,107,154,8,11,0,-1,0,0
65,20,98,135,10,10,0,-1,0,0
65,25,78,163,9,8,0,-1,0,0
65,27,90,117,10,14,0,-1,0,0
65,28,130,156,12,11,0,-1,0,0
65,29,96,152,12,11,0,-1,0,0
66,1,387,115,21,18,0,1,0,1
67,1,366,226,10,16,1,0,0,0
67,2,382,256,9,13,1,0,0,0
68,1,236,62,18,29,1,0,0,0
69,1,173,51,11,26,1,0,0,0
69,2,192,67,15,21,1,0,0,0
69,3,181,63,11,16,1,0,0,0
70,1,583,250,16,14,0,1,0,0
70,2,597,262,15,14,0,1,0,0
71,1,395,290,8,9,0,-1,0,0
72,1,196,49,11,26,1,0,0,0
72,2,217,67,11,19,1,0,0,0
72,3,205,59,12,22,1,0,0,0
73,1,456,246,47,33,0,1,0,1
74,1,264,21,18,29,1,0,0,0
75,1,420,63,11,26,1,0,0,0
75,2,438,80,12,20,1,0,0,0
75,3,427,69,11,24,1,0,0,0
76,2,401,265,11,19,1,0,0,0
77,1,347,204,11,14,1,0,0,0
77,2,370,226,9,13,1,0,0,0
78,2,339,173,11,19,1,0,0,0
79,1,111,172,15,15,0,-1,0,0
79,2,149,258,18,14,0,-1,0,0
79,3,86,161,16,16,0,-1,0,0
79,4,186,246,14,11,0,-1,0,0
80,1,194,79,18,29,1,0,0,0
81,2,234,112,11,11,0,-1,0,0
81,3,236,104,11,8,0,-1,0,0
81,4,254,91,11,11,0,-1,0,0
81,5,315,51,10,8,0,-1,0,0
82,1,410,295,8,9,0,-1,0,0
83,1,587,245,16,14,0,1,0,0
83,2,601,257,15,14,0,1,0,0
84,1,173,51,11,26,1,0,0,0
