frame_number,object_id,x,y,w,h,class,species,occlusion,noise
0,1,587,244,16,14,0,1,0,0
0,2,602,256,15,14,0,1,0,0
1,1,550,242,16,14,0,1,0,0
1,2,563,253,14,14,0,1,0,0
2,1,525,237,16,14,0,1,0,0
2,2,538,249,15,14,0,1,0,0
3,1,319,137,21,18,0,1,0,0
4,1,327,141,21,18,0,1,0,0
5,1,359,262,9,14,1,0,0,0
5,2,381,340,9,13,1,0,0,0
6,1,338,326,11,23,1,0,0,0
7,1,293,332,11,23,1,0,0,0
8,1,89,169,15,15,0,-1,0,0
8,2,140,254,18,14,0,-1,0,0
8,3,59,162,16,16,0,-1,0,0
8,4,185,238,14,11,0,-1,0,0
9,1,526,237,16,14,0,1,0,0
9,2,540,250,15,14,0,1,0,0
10,1,304,244,9,14,1,0,0,0
10,2,321,342,9,13,1,0,0,0
11,1,173,53,11,26,1,0,0,0
11,2,193,67,13,21,1,0,0,0
11,3,181,62,11,19,1,0,0,0
12,1,402,204,9,14,1,0,0,0
12,2,419,263,9,13,1,0,0,0
13,1,420,61,11,26,1,0,0,0
13,2,438,80,12,20,1,0,0,0
13,3,428,73,9,19,1,0,0,0
14,1,108,155,15,15,0,-1,0,0
14,3,68,159,16,16,0,-1,0,0
14,4,265,184,14,11,0,-1,0,0
15,1,305,141,21,18,0,1,0,0
16,1,385,216,11,23,1,0,0,0
17,1,72,170,15,15,0,-1,0,0
17,2,130,253,18,14,0,-1,0,0
17,3,39,166,16,16,0,-1,0,0
17,4,175,234,14,11,0,-1,0,0
18,1,503,235,14,14,0,1,0,0
18,2,514,251,14,11,0,1,0,0
19,1,106,155,15,15,0,-1,0,0
19,2,222,216,18,14,0,-1,0,0
19,3,64,157,16,16,0,-1,0,0
19,4,252,194,14,11,0,-1,0,0
20,1,101,169,15,15,0,-1,0,0
20,2,191,242,18,14,0,-1,0,0
20,3,60,169,16,16,0,-1,0,0
20,4,228,219,14,11,0,-1,0,0
21,1,551,236,16,14,0,1,0,0
21,2,566,249,15,14,0,1,0,0
22,1,188,45,11,26,1,0,0,0
22,2,209,61,13,19,1,0,0,0
22,3,198,54,9,19,1,0,0,0
